member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,sub_grade,home_ownership,annual_inc,dti,inq_last_6mths,mths_since_last_record,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,collections_12_mths_ex_med,mths_since_last_major_derog,last_week_pay,acc_now_delinq,tot_coll_amt,tot_cur_bal,total_rev_hi_lim,loan_status
9878144,18450,18450,18450,60,21.7,10,3,69000,24.28,0,0,0,15297,96.2,35,2,6269.2,0,0,0,0,72,96,0,0,71191,15900,0
12866989,30750,30750,30700,36,16.99,4,2,70000,29.13,2,0,0,17299,99.4,35,2,7394.32,0,0,0,0,26,104,0,0,221335,17400,0
58568833,9000,9000,9000,36,9.99,6,3,60000,19.7,0,0,0,9305,54.7,28,2,412.36,0,0,0,0,0,26,0,0,34538,17000,0
62725253,24000,24000,24000,36,10.99,8,3,130000,23.22,1,0,0,23770,76.7,25,1,833.27,0,0,0,0,0,17,0,0,125903,31000,0
66791957,20000,20000,20000,60,17.86,20,3,96000,18.31,0,0,0,18680,68.7,28,1,843.95,0,0,0,0,18,13,0,0,66738,27200,0
1699807,12400,12400,12400,36,6.62,2,1,40000,20.31,2,0,0,1804,12.2,9,2,0,0,712.76,7.03,0,0,0,0,0,0,0,0
54486146,4200,4200,4200,36,17.57,16,2,46000,31.25,0,0,0,21174,82.4,28,1,394.08,0,0,0,0,0,31,0,0,282808,25700,0
41408977,10500,10500,10500,36,13.66,9,1,60000,13.82,1,0,0,8661,60.6,24,2,845.33,0,0,0,0,0,30,0,0,71697,14300,1
63047232,16000,16000,16000,36,7.89,5,3,65000,21.54,0,0,0,22438,54.2,30,1,398.12,0,0,0,0,0,17,0,0,147448,41400,0
22741274,23800,23800,23800,60,15.61,4,2,70000,21.93,0,0,0,20253,46.7,27,2,5008.5,0,0,0,0,0,78,0,0,327930,43400,0
17563299,7200,7200,7150,36,12.99,3,1,37000,13.43,0,50,1,6392,32,28,2,1047.06,0,0,0,0,47,70,0,0,8589,19800,1
10317534,19200,19200,19175,36,6.62,2,2,250000,25.86,1,0,0,28912,87.3,23,2,1785.13,0,0,0,0,0,104,0,0,447388,33100,1
50609137,15000,15000,15000,36,6.92,4,2,90000,29.68,1,0,0,24129,48.4,31,1,624.8,0,0,0,0,0,35,0,0,114298,49900,0
70008968,4000,4000,4000,36,17.57,16,2,20000,30.79,0,0,0,6336,58.1,9,2,52.71,0,0,0,0,0,4,0,0,31445,10900,0
62465075,30000,30000,30000,60,9.99,6,2,180000,14.63,0,0,0,82208,69.6,25,1,1046.14,0,0,0,0,0,17,0,0,391749,94100,0
15319948,35000,35000,35000,60,16.59,4,2,480000,13.05,1,0,0,48777,70.7,24,1,8960.72,0,0,0,0,0,91,0,0,1385358,69000,0
66482134,6000,6000,6000,36,12.69,6,3,40000,13.11,0,0,0,4776,97.5,34,2,177.5,0,0,0,0,0,13,0,0,68057,4900,0
69834413,20000,20000,20000,36,8.18,2,3,50000,3.07,0,0,0,6485,52.7,14,2,127.24,0,0,0,0,0,9,0,0,6485,12300,0
69859111,12600,12600,12600,60,10.99,8,3,76600,7.19,1,0,0,3704,12.3,14,1,107.7,0,0,0,0,0,4,0,0,23697,30200,0
51096102,10000,10000,10000,60,19.52,15,2,29500,6.59,1,0,0,4890,54.9,18,1,1147.08,0,0,0,0,50,31,0,0,4890,8900,0
31177698,5000,5000,5000,36,13.98,9,3,19000,13.9,0,0,0,5422,82.2,12,2,728.43,0,0,0,0,0,65,0,50,5422,6600,0
72929339,10000,10000,10000,60,14.85,15,2,45000,26.76,0,0,0,17916,48.3,28,1,0,0,0,0,0,0,0,0,0,176391,37100,0
64856289,10000,10000,10000,60,18.55,10,2,27000,14.13,0,0,0,10707,64.1,5,1,448.67,0,0,0,0,0,13,0,0,10707,16700,0
46875834,33150,33150,33150,60,20.49,20,2,70000,32.61,0,0,0,40674,65.2,37,2,4851.01,0,0,0,0,0,39,0,0,141797,62400,0
46475985,5500,5500,5500,36,12.29,3,1,25000,11.91,0,72,1,4299,78.2,21,2,455.2,0,0,0,0,0,39,0,0,53454,5500,0
40524311,28000,28000,28000,36,8.19,5,2,84000,12.73,1,0,0,17081,36.7,48,2,1956.66,0,0,0,0,0,52,0,0,229995,46500,0
40996048,12600,12600,12600,36,16.49,12,1,35000,22.38,1,0,0,6981,26.2,18,2,1795.45,0,0,0,0,0,52,0,0,13054,26600,0
34160308,10000,10000,10000,36,8.39,5,2,98000,3.09,0,0,0,9875,30.5,13,2,412.4,0,0,0,0,0,35,0,0,42542,32400,1
5607481,17900,17900,17900,36,18.75,12,2,114500,23.11,5,0,0,40381,70.5,38,2,1830.04,0,0,0,0,0,31,0,0,624417,57300,1
53281867,4850,4850,4850,36,16.99,12,2,53000,26.49,0,0,0,9002,95.8,17,2,444.36,0,0,0,0,0,35,0,0,38829,9400,0
66959476,10725,10725,10725,36,12.29,3,1,28200,38.43,1,0,0,24196,33.2,27,1,277.95,0,0,0,0,0,13,0,0,28163,72900,0
1561871,20000,20000,19725,36,13.67,10,3,168000,22.32,0,0,0,24080,80,19,2,4255.21,68.04,750.11,134.7958,0,0,135,0,0,0,0,0
16592115,10000,10000,10000,36,10.99,4,2,125000,18.05,1,0,0,11639,51.7,55,2,1336.13,0,0,0,0,0,83,0,0,421664,22500,1
49704338,6400,6400,6400,36,12.69,6,1,42000,37.21,1,0,0,15455,76.9,29,2,466.13,0,0,0,0,0,31,0,0,71646,20100,1
1732493,4950,4950,4950,60,16.29,12,2,24000,16.82,1,0,0,8312,45.7,19,2,1388.24,0,0,0,0,22,104,0,0,8312,18200,0
1718233,12000,12000,12000,36,6.03,1,2,128000,10.85,1,0,0,37908,51.2,27,1,806.36,0,0,0,0,0,74,0,0,311014,74000,1
52145013,20000,20000,20000,36,12.69,6,1,160000,4.1,2,118,1,755,1.7,36,2,1538.96,0,0,0,0,66,35,0,805,234697,43300,0
61594927,7275,7275,7275,36,7.26,4,2,130000,16.63,2,0,0,9287,71.4,51,1,203.15,0,0,0,0,0,22,0,0,290962,13000,0
67069572,20200,20200,20200,36,9.17,4,2,59000,21.84,1,0,0,6560,19.5,18,1,366.73,0,0,0,0,0,13,0,0,195008,33600,0
14481374,16800,16800,16750,60,24.08,12,3,86000,6.57,2,0,0,13166,70,9,2,6634.89,0,0,0,0,0,96,0,0,13166,18800,0
56742106,35000,35000,34925,60,15.61,4,2,78500,11.48,0,0,0,34752,38.4,27,2,2194.09,0,0,0,0,0,22,0,0,34752,90600,0
59611678,6000,6000,6000,36,13.33,9,2,70000,9.02,1,0,0,12027,36.6,23,2,309.03,0,0,0,0,17,26,0,0,359326,32900,0
37396374,10700,10700,10700,60,14.31,12,2,32100,27.29,0,0,0,2558,45.7,25,1,1637.68,0,0,0,0,0,61,0,0,137019,5600,0
66382791,25000,25000,25000,60,7.89,5,2,95000,12.98,0,0,0,11533,15.9,24,1,464.46,0,0,0,0,0,13,0,0,235231,72600,0
10350023,12800,12800,12800,36,12.99,8,1,150000,12.63,2,0,0,25218,40.2,29,2,2477.45,0,0,0,0,0,113,0,0,161107,62800,0
36434927,28000,28000,28000,36,8.67,2,2,125000,30.44,0,0,0,68178,78.4,25,1,752.44,0,0,0,0,0,17,0,0,316510,87000,0
63110232,17000,17000,16950,36,9.99,6,3,110000,13.6,2,0,0,8350,15.3,36,2,573.96,0,0,0,0,18,17,0,5005,22198,54500,0
6048478,15000,15000,15000,36,11.14,4,2,60000,20.08,1,0,0,15028,68,31,2,1346.4,0,0,0,0,0,48,0,0,272177,22100,1
50976064,20000,20000,20000,60,13.99,12,1,65000,11.71,1,0,0,1108,5.5,11,1,1772.23,0,0,0,0,0,35,0,0,124248,20000,0
10557234,24000,24000,24000,60,17.76,4,2,128000,16.33,2,0,0,34211,53.7,36,2,1397.91,0,0,0,0,0,17,0,0,442155,63700,1
1665246,16000,16000,15975,36,6.03,1,2,75000,4.83,0,0,0,1079,2.9,8,2,1438.43,0,0,0,0,0,117,0,0,0,0,1
1604702,35000,35000,34975,36,19.72,20,2,140000,30.35,1,0,0,88474,80.1,47,2,11640.25,0,0,0,0,0,156,0,0,0,0,1
33740183,30000,30000,30000,60,17.57,16,2,99500,27.9,0,0,0,9158,63.6,39,1,6012.87,0,0,0,0,0,65,0,0,447154,14400,0
38670667,19200,19200,19200,60,17.86,20,2,65000,16.36,2,0,0,22211,35.7,35,1,3378.59,0,0,0,0,0,61,0,170,46867,62200,1
9897643,5375,5375,5375,36,15.61,9,3,25000,33.57,0,0,0,5624,67.8,10,1,1262.92,0,0,0,0,0,113,0,53,28862,8300,0
13688307,25250,25250,25250,36,14.64,9,2,72000,12.8,0,106,1,11965,76.2,15,1,4496.77,0,0,0,0,0,82,0,0,250586,15700,1
72268079,7200,7200,7200,36,14.48,15,3,39750,19.66,3,47,1,2353,78.4,18,1,81.09,0,0,0,0,26,4,0,0,58396,3000,0
48392080,18000,18000,18000,60,14.65,15,2,90000,14.8,1,0,0,10060,58.2,24,1,1855.66,0,0,0,0,0,39,0,0,223151,17300,0
1605934,1000,1000,1000,36,12.12,6,3,40000,31.77,0,0,0,15686,93.4,21,2,197.41,0,0,0,0,0,156,0,0,0,0,1
42183408,14450,14450,14450,36,17.86,20,2,40000,24.96,0,0,0,23539,70.7,27,2,2089.08,0,0,0,0,0,48,0,0,103681,33300,0
51834982,18225,18225,18225,36,16.55,8,1,48000,6.98,0,0,0,5596,53.3,20,2,1625.84,0,0,0,0,0,31,0,0,123905,10500,0
72539472,20000,20000,20000,36,13.18,9,2,84000,25.81,0,0,0,31858,79.2,27,1,0,0,0,0,0,44,0,0,0,405177,40200,0
61626318,12000,12000,12000,36,10.99,8,1,55000,27.3,1,0,0,15289,44.4,63,2,390.28,0,0,0,0,0,17,0,0,77893,34400,0
1908703,25000,25000,25000,60,23.83,30,3,65000,12.42,3,0,0,22459,85.1,19,2,11647.23,0,0,0,0,0,122,0,0,22459,26400,1
57896812,5000,5000,5000,36,12.69,6,2,77000,14.5,4,93,1,6981,45,25,1,295.25,0,0,0,0,89,26,0,0,174517,15550,0
11037470,17000,17000,17000,36,6.03,1,2,88300,11.05,0,0,0,21498,18.1,36,2,1428.27,0,0,0,0,0,104,0,0,244772,118600,0
32547839,28000,28000,28000,36,12.99,3,3,62400,12.58,2,0,0,22602,97,14,1,3763.35,0,0,0,0,0,65,0,0,23784,23300,0
59681056,20000,20000,20000,36,14.65,15,2,90000,11.2,2,0,0,18497,67.4,22,2,1133.19,0,0,0,0,54,26,0,0,28233,27500,0
24675779,20000,20000,20000,36,11.67,8,3,103320,15.17,1,0,0,19612,44.7,48,1,2658.26,0,0,0,0,0,74,0,0,27435,43900,0
55176132,12500,12500,12500,60,17.86,20,2,75000,12.14,0,53,1,9813,76,35,1,1235.69,0,0,0,0,50,31,0,0,275755,12950,0
49902505,4200,4200,4200,36,18.84,10,2,43000,24.37,2,0,0,7177,44.3,29,2,478.95,0,0,0,0,0,35,0,405,142744,16200,0
53121843,16100,16100,16100,60,19.99,20,1,35000,30.86,0,0,0,13731,57.9,16,2,1775.76,0,0,0,0,0,31,0,0,37237,23700,0
52731903,15450,15450,15450,36,13.33,9,3,33600,38.9,1,0,0,4548,19.1,24,2,1106.41,0,0,0,0,22,31,0,0,15017,23800,0
1791082,20000,20000,20000,60,14.33,3,2,87600,18.08,0,0,0,7055,81.1,30,2,7040.79,0,0,0,0,0,174,0,0,408391,8700,0
68379373,24000,24000,23625,60,18.2,5,2,70000,31.8,2,0,0,45065,96.3,34,2,687.84,0,0,0,0,0,9,0,0,106591,46800,0
12438167,17000,17000,17000,60,23.4,25,3,54000,18.89,2,0,0,14638,77,24,2,6163.79,24.16,0,0,0,52,91,0,0,35398,19000,1
15349020,1500,1500,1500,36,14.64,9,3,40000,15.54,0,0,0,0,0,20,1,0,0,0,0,0,35,0,0,0,24895,0,0
690194,8000,8000,7950,36,10.38,2,3,50004,23.88,2,0,0,13964,57.5,22,2,330.23,29.9505747557,318.09,3.2,0,0,26,0,0,0,0,0
65657401,25000,25000,25000,60,9.99,6,2,60000,29.91,0,0,0,29517,66.8,27,1,602.41,0,0,0,0,0,13,0,0,68650,44200,0
44797081,12000,12000,12000,36,10.99,8,1,52000,12.83,0,0,0,2145,37,21,1,972.18,0,0,0,0,41,44,0,6738,239603,5800,0
43345435,17500,17500,17500,36,15.99,8,2,88000,11.56,1,0,0,10940,49.1,19,2,2242.53,0,0,0,0,0,52,0,0,605585,22300,0
60870211,11000,11000,11000,36,7.89,5,2,33000,11.45,0,0,0,14599,86.4,19,1,302.65,0,0,0,0,0,17,0,0,139788,16900,0
41056694,35000,35000,35000,36,14.99,15,2,100000,10.29,0,0,0,41237,48.8,17,2,4521.11,0,0,0,0,52,52,0,0,41237,84500,0
17864494,25000,25000,25000,60,13.35,6,2,56000,28.44,0,0,0,20318,65.1,27,1,4685.77,0,0,0,0,0,87,0,0,186934,31200,0
58651642,6000,6000,6000,36,12.29,3,1,75000,16.7,0,81,1,5554,37.5,9,1,338.91,0,0,0,0,47,26,0,0,78372,14800,0
55096072,13200,13200,13200,60,19.99,20,1,26400,28.18,2,0,0,19628,61.5,24,1,1398.06,0,0,0,0,0,31,0,0,43807,31900,0
43499970,20000,20000,20000,36,15.61,4,3,70000,29.64,5,119,1,31478,46.6,40,2,2517.73,0,0,0,0,0,48,0,0,35449,67600,0
1833376,15000,15000,15000,60,7.9,4,2,67000,9.9,0,0,0,12938,18.2,23,2,1411.94,0,0,0,0,0,70,0,0,245928,71207,1
15158671,5950,5950,5950,36,18.25,12,3,30000,15.48,2,0,0,4110,68.5,17,2,1458.53,0,0,0,0,32,91,0,0,9943,6000,0
4596617,16000,16000,16000,36,7.9,4,2,55000,15.61,0,0,0,2497,38.4,20,1,1990.64,0,0,0,0,0,139,0,0,158699,6500,0
43264838,15000,15000,15000,60,12.39,3,2,80000,13.49,0,117,1,11744,49.3,13,1,1576.49,0,0,0,0,0,52,0,0,254138,23800,0
72868375,35000,35000,35000,36,7.89,5,2,180000,21.95,0,0,0,79466,61,43,1,0,0,0,0,0,0,0,0,0,261143,130300,0
34100517,18000,18000,18000,60,8.19,5,2,70000,19.58,0,0,0,7917,33,23,1,1556.1,0,0,0,0,47,61,0,0,46625,24000,0
55346919,28200,28200,28200,60,24.99,24,2,108000,16.78,0,116,1,8336,26.9,21,2,25.46,0,0,0,0,0,0,0,69,220405,31000,1
62774920,7000,7000,7000,36,10.99,8,3,70000,16.56,0,0,0,6693,13.7,35,1,238.76,0,0,0,0,0,17,0,0,12172,48900,0
61455690,13000,13000,13000,36,10.99,8,3,80000,26.62,0,0,0,30844,47.7,59,2,443.42,0,0,0,0,0,17,0,0,61294,64700,0
58641762,23000,23000,23000,36,10.99,8,1,50000,20.95,0,0,0,26633,49.3,14,1,1055.94,0,0,0,0,0,22,0,0,31225,54000,0
72059011,4950,4950,4950,36,18.49,10,3,178000,7.54,0,54,2,2258,38.9,15,1,66.1,0,0,0,0,0,4,0,0,38746,5800,0
52105020,7200,7200,7200,36,15.61,4,2,60000,21.62,2,29,3,11170,25.8,28,2,605.25,0,0,0,0,19,31,0,0,40749,43300,0
15119593,17000,17000,17000,60,14.99,15,2,58000,21.06,2,0,0,26730,38.2,37,1,3262.65,0,0,0,0,0,74,0,0,301791,70000,0
58469858,20000,20000,20000,60,19.19,15,2,75000,19.12,0,0,0,20237,58,47,1,1848.41,0,0,0,0,0,26,0,0,263725,34900,0
64223684,5050,5050,5050,36,12.69,6,3,190000,22.3,0,38,1,1480,20.3,23,2,202.64,0,0,0,0,78,17,1,0,357941,7300,0
49212973,35000,35000,35000,60,22.99,6,2,87040,16.13,1,0,0,19631,43.1,41,2,5717.54,0,0,0,0,0,39,0,574,212529,45600,0
38942197,15000,15000,15000,60,15.99,8,2,85000,10.38,1,0,0,13147,84.3,21,1,2391.76,0,0,0,0,79,57,0,0,32825,15600,0
7196060,10225,10225,10225,36,10.16,2,2,31200,10,0,0,0,12348,54.2,22,2,1621.36,0,0,0,0,0,131,0,0,111460,22800,0
60877104,18000,18000,17950,36,9.99,6,3,39000,9.32,0,0,0,10163,80.7,14,2,693.1,0,0,0,0,0,22,0,192,10163,12600,0
66831871,28000,28000,28000,36,5.32,1,2,72000,16.1,0,0,0,11213,12.2,41,1,292.48,0,0,0,1,26,13,0,0,381787,92000,0
1379776,5700,5700,5700,60,19.42,15,3,50000,8.9,0,0,0,8009,69,29,2,2576.6,0,0,0,0,0,152,0,0,0,0,1
15148247,13000,13000,13000,36,6.62,2,2,130000,23.37,0,0,0,26163,55.2,36,2,1113.13,0,0,0,0,0,91,0,0,618061,47400,0
44015895,24000,24000,24000,60,13.33,9,1,61000,34.51,1,0,0,6681,75.9,38,1,2735.7,0,0,0,0,0,48,0,0,58182,8800,0
37386430,7200,7200,7200,36,11.99,10,3,35000,17.22,0,0,0,5846,21.3,16,2,844.12,0,0,0,0,0,61,0,0,23744,27500,0
3863395,20000,20000,19850,36,13.11,8,2,50000,19.63,1,0,0,9426,20.5,21,2,4284.67,0,0,0,1,0,156,0,168,105315,46000,0
61824645,5000,5000,5000,36,9.99,6,3,70000,20.58,0,0,0,21522,85.1,26,1,154.94,0,0,0,0,0,22,0,0,31458,25300,0
53876533,16850,16850,16850,36,10.99,8,1,44200,20.93,0,0,0,8390,77.7,9,1,992.36,0,0,0,0,0,31,0,0,14203,10800,0
1406917,10000,10000,9750,36,13.11,8,3,72000,5.17,0,0,0,11220,58.7,19,2,2150.42,0,0,0,0,0,156,0,0,0,0,1
41782049,13000,13000,13000,60,12.39,3,3,42000,10.49,1,0,0,5202,65,8,1,1490.62,0,0,0,0,0,52,0,221,8328,8000,0
44183243,7000,7000,7000,36,7.89,5,3,75735.12,17.7,2,0,0,5179,65.6,21,1,405.09,0,0,0,0,3,43,0,0,24353,7900,0
60254094,18000,18000,18000,60,9.17,4,2,113000,15.89,0,0,0,19729,42.5,51,1,660.28,0,0,0,0,0,22,0,105,697738,46400,0
42363831,25000,25000,25000,60,20.99,20,2,130000,7.43,1,0,0,31254,46.2,14,1,1890.72,0,0,0,0,0,17,0,0,31254,67700,1
3117211,10000,10000,10000,36,13.11,8,2,90000,12.49,1,0,0,10383,76.9,17,1,1735.64,0,0,0,0,0,91,0,0,324254,13507,0
35974815,21600,21600,21600,36,11.44,8,2,95000,25.24,0,0,0,23451,39,48,1,1695.09,0,0,0,0,0,39,0,0,253332,60100,1
45351212,30000,30000,30000,60,12.69,6,2,140000,15.83,0,117,1,14960,45.2,21,1,2695.7,0,0,0,0,0,39,0,0,66287,33100,0
26297209,26125,26125,26125,60,13.98,9,2,57000,23.85,2,0,0,6900,22.2,24,1,4672.26,0,0,0,0,0,74,0,0,34248,31100,0
49979978,7000,7000,7000,36,7.89,5,3,42640,18.54,0,0,0,6860,45.1,14,1,329.79,0,0,0,0,0,35,0,0,15736,15200,0
31217963,8000,8000,8000,36,17.57,16,1,33072,32.47,3,86,1,8016,41.1,21,2,1477.71,0,0,0,0,0,65,0,518,32296,19500,0
6717229,20000,20000,20000,36,11.14,4,3,65000,11.58,0,86,1,13646,36,38,1,3530.18,0,0,0,0,0,135,0,0,31773,37900,0
44337008,16000,16000,16000,36,12.29,3,2,97000,9.08,0,0,0,26248,77.9,18,2,1441.65,0,0,0,0,0,43,0,0,491917,33700,0
8617609,8000,8000,8000,36,16.78,15,2,68750,22.97,2,94,1,12365,55,26,2,1898.48,0,0,0,0,0,95,0,0,127882,22500,1
64517866,2800,2800,2750,36,16.99,12,3,56000,21.62,0,38,1,7224,96.3,24,2,113.72,0,0,0,0,0,13,0,0,27519,7500,0
46726889,11625,11625,11625,36,16.55,8,2,58000,20.46,0,0,0,6834,53,26,2,1303.27,0,0,0,0,0,39,0,0,128115,12900,0
28672486,12950,12950,12950,36,17.57,16,2,166000,16.27,3,0,0,39447,68.5,29,1,1400.44,0,0,0,0,0,35,0,0,336159,57600,0
15061036,24000,24000,23950,60,18.25,12,2,110000,11.96,1,0,0,18389,47.4,34,2,6796.16,0,0,0,0,10,91,0,0,303569,38800,0
58993845,19675,19675,19675,60,9.17,4,2,74000,22.2,0,0,0,35263,52.9,24,1,851.98,0,0,0,0,0,26,0,0,137534,95900,0
39003126,35000,35000,35000,36,14.31,12,2,104000,17.13,2,0,0,40723,68.3,38,1,4635.84,0,0,0,0,0,57,0,0,132687,59600,0
532287,18000,18000,17045.5613566,36,18.78,18,3,80000,15.6,0,0,0,11184,93.2,8,2,5769.41,0,0,0,0,0,161,0,0,0,0,1
19595519,5275,5275,5275,36,10.99,6,3,36000,18.53,1,0,0,5276,67.6,32,1,712.63,0,0,0,0,56,83,0,0,57534,7800,0
1355282,15000,15000,15000,36,13.49,3,3,75000,8.75,0,0,0,13305,88.7,14,2,2886.33,0,0,0,0,0,104,0,0,0,0,1
8127741,8000,8000,8000,36,18.85,12,3,30000,22.4,1,0,0,7884,52.9,19,1,2357.44,0,0,0,0,0,117,0,0,29284,14900,1
15710223,35000,35000,35000,60,21.99,20,3,90000,17.14,0,0,0,33164,88.4,11,2,10013.94,0,0,0,0,0,74,0,0,49328,37500,0
59620231,15000,15000,15000,36,15.61,4,3,78402.16,24.6,0,58,1,6183,50.3,36,2,938.72,0,0,0,0,0,26,0,141,43998,12300,0
51884624,12000,12000,12000,36,8.18,2,2,45000,20.59,3,106,1,12139,26.4,21,2,591.82,0,0,0,0,0,35,0,0,18955,46000,0
43163125,7000,7000,7000,36,6.03,1,3,33000,6.55,0,0,0,4161,10,12,2,120.19,0,0,0,0,0,35,0,0,4161,41600,1
7947406,19200,19200,19200,36,10.64,4,2,50000,24.84,1,0,0,9368,34.7,17,2,2633.47,0,0,0,0,0,91,0,0,44318,27000,1
9889290,9750,9750,9725,36,12.99,8,3,30000,20.2,0,0,0,8012,66.8,14,2,1887.02,0,0,0,0,0,113,0,0,9687,12000,0
23052420,12000,12000,12000,60,14.49,12,2,57000,26.59,0,77,1,6182,33.2,39,1,2337.28,0,0,0,0,0,78,0,0,217361,18600,1
64876377,20000,20000,20000,60,13.33,9,3,125000,19.77,0,107,1,11463,57.6,20,1,628.98,0,0,0,0,0,13,0,0,51448,19900,0
33509596,30000,30000,30000,36,10.15,4,2,150000,7.71,1,0,0,11709,40.8,13,2,3129.17,0,0,0,0,0,65,0,5674,15567,28700,0
45330307,11950,11950,11950,60,21.67,25,2,29900,15.42,1,0,0,10979,96.3,9,2,1936.71,0,0,0,0,0,44,0,0,11346,11400,0
42384204,10000,10000,10000,36,6.03,1,1,45000,3.61,1,0,0,1590,3.4,38,1,507.53,0,0,0,0,0,52,0,0,76398,46100,0
1831477,12000,12000,12000,36,18.49,8,3,106000,20.51,1,0,0,22177,85.2,41,2,1945.46,0,0,0,0,26,52,0,0,41374,26000,1
61974479,5300,5300,5300,36,12.69,6,3,34000,10.66,1,0,0,6003,103.5,4,2,263.49,0,0,0,0,0,22,0,0,11900,5800,0
55345901,5000,5000,5000,36,6.89,3,1,44236,21.32,0,0,0,5687,11.5,29,1,183.78,0,0,0,0,70,31,0,0,57897,49500,0
57175359,28000,28000,28000,60,9.17,4,2,85000,4.31,0,0,0,2069,8.2,10,2,1226.74,0,0,0,0,0,26,0,0,146182,25100,0
46497625,22000,22000,22000,60,16.55,8,1,55000,17.32,0,0,0,14760,74.2,18,1,2588.45,0,0,0,0,0,39,0,0,25315,19900,0
65668618,13550,13550,13475,36,16.99,12,1,60000,25.54,2,31,2,8043,54,15,2,550.32,0,0,0,1,7,13,0,0,42886,14800,0
65650493,10000,10000,10000,36,11.53,10,3,58000,11.65,0,77,1,5635,26.1,7,1,177.11,0,0,0,0,0,13,0,128,12743,21600,0
71336926,16000,16000,16000,36,5.32,1,1,50000,18.71,0,0,0,18300,27.4,24,1,66.2,0,0,0,0,0,4,0,0,26807,110500,0
31127663,12000,12000,12000,60,12.49,10,3,73600,8.94,0,0,0,20104,41.1,26,1,1663.15,0,0,0,0,0,61,0,0,41719,48900,0
36144790,30000,30000,30000,60,9.49,4,2,120000,14.94,0,0,0,22793,15.9,58,1,2859.78,0,0,0,0,0,56,0,0,214384,143100,0
7688708,8000,8000,7950,36,10.64,4,2,42000,25.3,0,0,0,13574,76.3,15,2,1331.37,0,0,0,0,0,131,0,0,161474,17800,0
31337166,14500,14500,14500,36,11.67,8,3,90000,34.15,1,0,0,11933,25.3,30,2,1754.73,0,0,0,0,17,65,0,0,41019,47100,0
70965225,25150,25150,25150,36,9.76,6,3,130000,32.74,1,0,0,31941,51.3,36,1,177.28,0,0,0,0,0,4,0,0,108745,62300,0
8102164,7200,7200,7200,36,20.31,20,2,62268,30.87,2,0,0,7231,62.9,39,2,2318.77,0,0,0,0,14,122,0,0,403512,11500,0
6998278,21200,21200,21200,36,16.29,12,3,60000,24.8,1,0,0,20631,66.3,37,2,5591.7,0,0,0,0,0,135,0,0,98749,31100,0
